event_name,disaster_type,begin_date,end_date,cost_cpi_musd,cost_nominal_musd,deaths,disaster_group,south_florida_relevance
Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,2020-10-29,5266.0,4352.0,6,Hurricane,south_florida_affected
Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-08,2020-11-12,1766.7,1460.0,12,Hurricane,south_florida_affected
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-24,2021-03-25,1995.8,1677.0,6,Severe Storm,south_florida_affected
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-02,2021-05-04,1479.1,1264.0,4,Severe Storm,south_florida_affected
Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-07,2021-07-09,1407.1,1213.0,1,Hurricane,south_florida_affected
Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-16,2021-08-18,1481.3,1277.0,7,Hurricane,south_florida_affected
Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,2021-09-01,84608.1,73572.0,96,Hurricane,south_florida_affected
Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,2021-09-18,1168.5,1016.0,0,Hurricane,south_florida_affected
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021-12-10,2021-12-10,4463.1,3915.0,93,Severe Storm,south_florida_affected
Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-04,2022-04-06,1544.8,1417.0,3,Severe Storm,south_florida_affected
Hurricane Fiona (September 2022),Tropical Cyclone,2022-09-17,2022-09-18,2685.7,2510.0,25,Hurricane,south_florida_affected
Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,2022-09-30,119626.0,111800.0,152,Hurricane,south_florida_affected
Hurricane Nicole (November 2022),Tropical Cyclone,2022-11-10,2022-11-11,1081.2,1020.0,5,Hurricane,south_florida_affected
Fort Lauderdale Flash Flood (April 2023),Flooding,2023-04-12,2023-04-13,1144.0,1100.0,0,Flood,south_florida_only
Hurricane Idalia (August 2023),Tropical Cyclone,2023-08-29,2023-08-31,3559.7,3456.0,5,Hurricane,south_florida_affected
East Coast Storm and Flooding (December 2023),Flooding,2023-12-16,2023-12-18,1314.4,1276.0,5,Flood,south_florida_affected
Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,2024-01-08,2024-01-10,2780.2,2726.0,3,Severe Storm,south_florida_affected
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,2024-05-06,2024-05-09,6571.0,6571.0,3,Severe Storm,south_florida_affected
Hurricane Beryl (July 2024),Tropical Cyclone,2024-07-08,2024-07-08,7219.0,7219.0,46,Hurricane,south_florida_affected
Hurricane Debby (August 2024),Tropical Cyclone,2024-08-05,2024-08-09,2476.0,2476.0,17,Hurricane,south_florida_affected
Hurricane Francine (September 2024),Tropical Cyclone,2024-09-11,2024-09-12,1291.0,1291.0,0,Hurricane,south_florida_affected
Hurricane Helene (September 2024),Tropical Cyclone,2024-09-24,2024-09-29,78721.0,78721.0,219,Hurricane,south_florida_affected
Hurricane Milton (October 2024),Tropical Cyclone,2024-10-09,2024-10-10,34250.0,34250.0,32,Hurricane,south_florida_affected
